name,name_th,category,area,phone,website,address,hours,google_rating,google_reviews,lat,lng,source,VERIFIED (Y/N),CORRECT PHONE,OWNER NAME,LINE ID,WANTS TO JOIN (Y/N),NOTES
KUDO Hotel & Beach Club,,Business,Patong,076 340 297,https://www.kudohotel.com/,"33 1 Patong Beach Shortcut Road Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.5,5459,7.89493,98.29543,google_places,,,,,,
SIAM Phuket - Seafood Restaurant,,Restaurant,Patong,083 279 0071,https://dejavusinternational.com/siam-seafood.php,"72 Thaweewong Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,5205,7.89013,98.29337,osm,,,,,,
"KIRI Restaurant, Karon Beach",,Restaurant,Karon,076 396 611,http://www.kiriphuket.com/,"542/1 Patak Road, Karon Beach, Karon, Muang, Phuket 83100, Thailand",,4.7,5035,7.84898,98.29387,google_places,,,,,,
Kan Eang Restaurant - ร้านกันเอง,,Seafood Restaurant,Chalong,097 878 3555,https://kaneang.com/,"44 1 Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",,4.5,4948,7.82012,98.34418,google_places,,,,,,
Day & Night Of Phuket,,Restaurant,Phuket Town,+6676219788,https://www.dayandnight.co.th/phuket/,"Talat Yai, Mueang Phuket District, Phuket 83000, Thailand",Mo-Su 11:00-24:00,4.7,4720,7.88595,98.39107,osm,,,,,,
BOOST | Cafe & Restaurant Phuket,,Cafe,Nai Harn,065 264 9792,https://boostcafethailand.com/,"39, 38, Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83120, Thailand",,4.8,4567,7.79063,98.31685,google_places,,,,,,
Patong Social Phuket Restaurant & Hotel - Best Indian & Thai Food,,Restaurant,Patong,081 676 2707,http://wa.me/+66%2081%20676%202707,"Pa Tong, Kathu District, Phuket 83150, Thailand",,4.8,4367,7.88981,98.29596,google_places,,,,,,
Chekhoff,,Family Restaurant,Kata,093 627 0325,https://foodmenu.online/chekhoffphuket,"C8-C9 Phuket, Thailand 106, 11 ถนน กะตะ ตำบล กะรน Mueang, ภูเก็ต 83100, Thailand",,4.8,4336,7.82548,98.29785,google_places,,,,,,
Club Med Phuket,,Hotel,Kata,076 330 455,https://www.clubmed.de/cm/resort-phuket-thailand_p-14-l-AE-v-PHUC-ac-vh.html,"3 Kata Road Karon S-D, A, Kata Beach, ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต 83100, Thailand",,4.6,4190,7.82057,98.29779,osm,,,,,,
"NARA MASSAGE & SPA PHUKET (Chalong, Patak Rd.)",,Massage spa,Chalong,065 392 4724,http://www.naramassagespa.com/,"75, 159 Patak Rd, Tambon Chalong, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",,4.8,4128,7.8229,98.33783,google_places,,,,,,
Tann Beach club,,Business,Kata,094 156 4546,https://tannbeachclub.com/,"53 Karon Rd Karon Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.5,3798,7.83009,98.29498,google_places,,,,,,
Baan Thai Seafood Restaurant,,Seafood Restaurant,Patong,099 358 5728,https://baanthaiseafoodrestaurant.shop/,"40 Rat-U-Thit Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,3676,7.9026,98.3007,google_places,,,,,,
Aquaria Phuket,,Aquarium,Old Town,,https://www.aquaria-phuket.com/,"ชั้น B1, ศูนย์การค้า เซ็นทรัล ภูเก็ต ฟรอเรสต้า ตั้งอยู่, 199 Vichitsongkram Rd, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.3,3649,7.88872,98.36586,google_places,,,,,,
The Cozy cafe Phuket,,Coffee Shop,Patong,064 220 0488,,"94 Muen-Ngern Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.7,3545,7.88802,98.27132,google_places,,,,,,
Monkey Hill Viewpoint,,Scenic Spot,Phuket Town,,,"Ratsada, Mueang Phuket District, Phuket 83000, Thailand",,4.4,3512,7.89674,98.395,google_places,,,,,,
Ton Mai Spa & Massage Rawai Phuket,,Spa,Rawai,063 117 5211,https://www.tonmaispa.com/,"6 11 Wiset Rd, Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",,4.8,3474,7.77941,98.32856,google_places,,,,,,
Harem Club Phuket,,Night Club,Patong,094 574 3747,https://suzywongs.com/harem.html,"21/2-8 Soi Seadragon, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.9,3435,7.89407,98.29683,google_places,,,,,,
TAPAS Cafe & Restaurant - Phuket Old Town,,Restaurant,Phuket Town,084 695 1935,https://tapasphuket.com/,"51 Thanon Ratsada, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.8,3316,7.88317,98.38948,google_places,,,,,,
Hidden Cafe Phuket,,Restaurant,Kata,+66829166353,https://openlink.co/hiddencafephuket,"260 ถนนโคกโตนด Tambon Karon, เมือง Chang Wat Phuket 83100, Thailand",Mo-Su 10:00-19:30,4.8,3299,7.80204,98.30395,osm,,,,,,
Decathlon Phuket,,Sporting Goods Store,Old Town,096 812 3346,https://www.decathlon.co.th/th/,"89 Chalermprakiat Ratchakan Thi 9 Road, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.8,3229,7.89347,98.36866,google_places,,,,,,
Phuketique Coffee Bar,,Restaurant,Old Town,,,"2 Ranong Rd, Tambon Talat Nuea, Muang, Chang Wat Phuket 83000, Thailand",,4.5,3221,7.88335,98.38714,google_places,,,,,,
Blue Elephant Phuket Cooking School & Restaurant,,Thai Restaurant,Old Town,076 354 355,https://www.blueelephant.com/phuket/,"96 Krabi, Tambon Talat Nuea, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.7,3197,7.8864,98.38466,google_places,,,,,,
Phuket Elephant Sanctuary,,Tourist Attraction,Paklok,062 767 7111,http://www.phuketelephantsanctuary.org/,"100, 9, Tambon Pa Klok, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.8,3161,8.0207,98.39844,google_places,,,,,,
Yona Beach Club,,Business,Koh Kaew,02 430 4400,https://www.yonabeach.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website_button,"MC 1-5 63/102, ตำบล เกาะแก้ว อำเภอเมืองภูเก็ต ภูเก็ต 83000, Thailand",,4.7,3123,7.96729,98.39094,google_places,,,,,,
Barra Cuda Beach Club Phuket,,Business,Patong,061 394 3904,https://www.barracudaphuket.com/,"43 Thaweewong Road, Amphoe Kathu, ตำบลป่าตอง Patong, ภูเก็ต 83150, Thailand",,4.8,3119,7.89752,98.29653,google_places,,,,,,
Hilltop cafe - Sinae Phuket Luxury Hotel,,Cafe,Phuket Town,061 173 8903,https://order.handigo.co/booking/table-booking/307/27,"888, Tambon Ratsada, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.1,3069,7.8718,98.43218,google_places,,,,,,
Suzy Wong's A Go-Go,,Business,Patong,094 574 3747,https://suzywongs.com/,"23, off, 17-18 Soi Seadragon, Tambon Patong, Phuket, Chang Wat Phuket 83150, Thailand",,4.8,3023,7.89446,98.29715,google_places,,,,,,
Napa Massage Patong Beach,,Massage,Patong,065 221 5113,,"9 Thaweewong Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,2923,7.89426,98.29532,google_places,,,,,,
SAMA Onsen & Massage,,Massage spa,Phuket Town,082 249 9622,https://samaonsenspa.com/,"2 1 Soi Saphanhin, Tambon Talat Yai, Muang Chang Wat Phuket 83000, Thailand",,4.9,2895,7.87031,98.39574,google_places,,,,,,
Torry's Ice Cream,,Ice Cream Shop,Old Town,076 510 888,http://www.torrys.com/,"16 Soi Rommani Old Phuket Town, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.4,2877,7.88543,98.38923,google_places,,,,,,
Patong Seafood,,Restaurant,Patong,076 341 244,https://www.patongseafood.co.th/,"130 Thaweewong Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.4,2809,7.89352,98.29517,osm,,,,,,
"E-Gokart Track (G Floor, Central Phuket Floresta) - 电动卡丁车赛道 - Трасса для электрокартинга -",,Go-karting venue,Old Town,096 206 0146,http://egokart.monowheel.bike/,"199 หมู่ที่ 4 Vichitsongkram Rd, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.9,2743,7.89212,98.36591,google_places,,,,,,
The Neighbors Cafe,,Breakfast Restaurant,Phuket Town,088 760 4677,https://www.facebook.com/theneighborshostel/,"ตําบล, 93 Phangnga Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.7,2733,7.88373,98.38989,google_places,,,,,,
Pure Serenity Luxury Spa - Patong Phuket,,Spa,Patong,062 723 9828,https://pureserenityphuket.com/,"210 1, 200 ถ. ราษฏร์อุทิศ 200 ปี ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150, Thailand",,4.9,2669,7.88923,98.29552,google_places,,,,,,
Royal Phuket City Hotel,,Hotel,Phuket Town,076 233 333,https://www.royalphuketcity.com/,"154 Phangnga Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.3,2667,7.88294,98.3949,google_places,,,,,,
Malika Sky Bar,,Bar,Patong,088 819 9923,https://www.kalimaresort.com/dining/malika-sky-bar-and-terrace,"338 1 Phabaramee Road Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.9,2655,7.91734,98.28485,google_places,,,,,,
Carpe Diem Beach Club - Phuket,,Business,Surin,065 058 5388,http://www.carpediemphuket.com/,"99, 1 Bangtao Beach Road, Tambon Choeng Thale, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.8,2604,7.98465,98.28463,google_places,,,,,,
Chekhoff Restaurant & Bakery,,Restaurant,Karon,093 627 0325,https://taplink.cc/chekhoffphuket,"245, 247, 249 Patak Rd Karon Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.9,2565,7.83429,98.29844,osm,,,,,,
Laem Hin Seafood,,Seafood Restaurant,Koh Kaew,076 373 349,,"90/10 บ้านแหลม หิน หมู่ 7 ถนน เทพ กษัตรีย์ อำเภอ เมือง ภูเก็ต Thepkrasattri Rd ตำบล เกาะแก้ว Tambon Ko Kaeo, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.2,2552,7.93566,98.40781,google_places,,,,,,
Dino Park Mini Golf & Restaurant,,Golf Course,Kata,,https://www.dinopark.com/,"47 Karon Rd Karon Beach, Tambon Karon, Muang, Chang Wat Phuket 83100, Thailand",,4.4,2546,7.82857,98.29565,google_places,,,,,,
BJ Canoeing Tour,,Tour Agency,Paklok,092 656 5961,https://www.facebook.com/Joycanoe?mibextid=LQQJ4d,"8 37, Tambon Pa Klok, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.9,2480,8.06294,98.43228,google_places,,,,,,
Thai Mueang Restaurant Phuket,,Restaurant,Old Town,094 595 2655,,"บ้าน เลขที่ 100 Krabi, Tambon Talat Nuea, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.9,2436,7.8854,98.38365,google_places,,,,,,
Sea Massage Phuket,,Spa,Phuket Town,096 226 6465,https://www.seamassagephuket.com/,"11 Thanon Dibuk Old Phuket Town, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.8,2278,7.88593,98.38942,google_places,,,,,,
Su Va Na,,Fine Dining Restaurant,Old Town,063 308 8262,https://suvanaphuket.com/,"No. 199, B01, B Floor, Central Phuket Floresta, ตำบล วิชิต อำเภอเมืองภูเก็ต ภูเก็ต 83000, Thailand",,4.8,2273,7.88969,98.36662,google_places,,,,,,
Tree Bay Clubhouse,,Restaurant,Kata,090 997 5888,https://treebay.bookmai.com/en/menu,"10 Soi Leammumnai, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.7,2273,7.79849,98.29926,google_places,,,,,,
Lyn's Spa & Massage Patong - Authentic Thai Spa,,Spa,Patong,076 609 291,https://lynspapatong.com/,"179, 85-87 Soi Sansabai, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.9,2266,7.89267,98.30033,google_places,,,,,,
Issara Restaurant & Bar – Kata Beach,,Restaurant,Kata,099 304 3636,https://issaraphuket.com/,"1, 34 Kata Noi Rd, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.8,2257,7.8116,98.2978,google_places,,,,,,
GOAT Beach Club Phuket,,Mediterranean Restaurant,Surin,081 305 5850,https://www.goatbeachclubphuket.com/,"Andaman, resort, Bang Tao Beach, ตำบลเชิงทะเล Phuket, ภูเก็ต 83110, Thailand",,5,2158,7.98514,98.28628,google_places,,,,,,
Catch Beach Club,,Business,Bang Tao,065 348 2017,http://www.catchbeachclub.com/,"202/88, Bang Tao Beach, ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต 83110, Thailand",,4.2,2152,7.98897,98.28922,google_places,,,,,,
Phuket JETSKI Club - ภูเก็ตเจสกีคลับ,,Travel Agency,Koh Kaew,081 523 8795,https://jetskiphukettrips.com/app/index.php,"Leamnganusorn Road, Tambon Ratsada, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.8,2148,7.91013,98.43246,google_places,,,,,,
Suzy Wongs 3,,Night Club,Patong,094 574 3747,http://www.suzywongs.com/suzy-wongs-3,"Off, 21/3-4 Soi Seadragon, Tambon Patong, Patong, Chang Wat Phuket 83150, Thailand",,4.9,2128,7.89398,98.29678,google_places,,,,,,
Ombre Yacht,,Services,Chalong,065 237 7796,https://www.ombreyacht.com/,"44 1 Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",,4.9,2100,7.82254,98.33763,google_places,,,,,,
Blu Monkey Hub & Hotel Phuket,,Hotel,Phuket Town,076 354 266,http://www.blumonkeyphuket.com/,"3 Soi Pradit, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.5,2060,7.88394,98.39431,google_places,,,,,,
"Golden Paradise Restaurant(NORTH-INDIAN CURRY HOUSE) || Best Indian Restaurant, Veg And Non Veg Restaurant, Vegan Restaurant",,Indian Restaurant,Kata,087 623 3031,https://www.goldenparadiserestaurants.com/,"98, opposite of Beyond Resort karon, 1 Karon Rd Karon Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.8,2057,7.82978,98.2952,google_places,,,,,,
"Oasis Spa (Turquoise Cove Spa, Kamala)",,Spa,Kamala,076 337 777,https://oasisspa.net/en/destination/phuket/Turquoise_Cove_Spa/?utm_source=mamgbp&utm_medium=gbp&utm_campaign=tck,"71/10, Kamala Beach, กมลา อำเภอกะทู้ ภูเก็ต 83120, Thailand",,4.8,2041,7.95351,98.28908,google_places,,,,,,
Phuket Dive Tours - Patong Dive Center,,Sporting Goods Store,Patong,087 022 5356,http://phuketdivetours.com/,"33 Thanon Sainamyen, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,5,2029,7.89611,98.30209,google_places,,,,,,
New York Live Music Bar,,Bar,Patong,089 217 7799,https://newyorklivemusic.club/,"68 Bangla Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.4,1987,7.89337,98.29722,osm,,,,,,
Hello Gold5 Massage & Spa,,Health,Patong,080 908 3023,https://www.facebook.com/profile.php?id=61560024874428&mibextid=LQQJ4d,"204/29 Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.9,1980,7.89058,98.29698,google_places,,,,,,
Pun Te Phuket Food Center,,Food Court,Old Town,098 671 4856,,"101 2 103 Old Phuket Town, Tambon Talat Nuea, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.9,1944,7.88582,98.38715,google_places,,,,,,
Smigo's Bar & Restaurant,,Bar & Grill,Bang Tao,095 591 2777,http://www.smigobarphuket.com/,"37 Bang Tao Beach, Tambon Choeng Thale, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.7,1894,8.00775,98.29268,google_places,,,,,,
Ciao Pizza and Grill,,Italian Restaurant,Karon,063 062 6811,https://pizzagrillphuket.com/?&utm_source=googlemaps&utm_medium=googlemaps_website&utm_campaign=googlemaps_website&utm_content=googlemaps_website,"Patak Rd Karon Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.6,1861,7.83712,98.29527,google_places,,,,,,
Cattleya Restaurant Kata Beach,,Restaurant,Kata,076 330 181,https://cattleyakata.com/,"Orchidacea Resort, 210 Koktanod Rd, Tambon Karon, Phuket, Chang Wat Phuket 83100, Thailand",,4.8,1855,7.81238,98.29867,google_places,,,,,,
Mama Jin Restaurant,,Restaurant,Karon,081 893 9043,https://www.facebook.com/profile.php?id=100063650256279&mibextid=ZbWKwL,"418/8 Patak Rd Karon Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.6,1847,7.84446,98.30058,google_places,,,,,,
Jay’s Kitchen,,Restaurant,Karon,+66 92 248 3888,https://www.jayskitchenkaron.com,"190, 12 Karon Rd Karon Beach, Tambon Karon, Phuket, Chang Wat Phuket 83100, Thailand",Mo-Su 12:00-23:00,4.9,1788,7.84296,98.29561,osm,,,,,,
De Flora Spa & Massage,,Massage spa,Patong,076 344 555,http://www.defloraspa.com/,"Pa Tong Kathu District ภูเก็ต 83150, Thailand",,4.5,1776,7.88877,98.29536,google_places,,,,,,
Chann Spa,,Spa,Kamala,098 016 2144,https://www.channspaphuket.com/,"6, 2, Tambon Kamala, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,5,1775,7.92679,98.27288,google_places,,,,,,
Khubani Rooftop Bar and Restaurant خوباني,,Turkish Restaurant,Patong,089 108 9111,https://khubanirooftopphuket.com/,"162, 162/1-2 Thaweewong Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,1769,7.89634,98.29673,google_places,,,,,,
Kata on Fire Bar and Grill,,Restaurant,Kata,+66 93 584 2334,https://www.facebook.com/Kataonfirebarandgrill/,"163 1 Koktanod Rd, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",Mo-Su 09:00-23:00,4.7,1742,7.81592,98.30319,osm,,,,,,
Ko Ang Seafood,,Seafood Restaurant,Phuket Town,076 221 460,http://www.facebook.com/arngseafood.phuket,"226 หมู่ 2 Phuket Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.2,1737,7.87908,98.39247,google_places,,,,,,
NumNum Old Town Cafe & Restaurant,,Turkish Restaurant,Old Town,098 671 9377,https://www.numnumoldtown.com/,"No 60, Thanon Dibuk, Tambon Talat Nuea, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.8,1735,7.88657,98.38628,google_places,,,,,,
Cielo Blu Bistro,,Restaurant,Patong,080 008 3095,,"Thaweewong Rd, Tambon Patong, Phuket Chang Wat Phuket 83150, Thailand",,4.8,1722,7.8998,98.29714,google_places,,,,,,
FLYO Rooftop Beach Club Phuket,,Lounge bar,Patong,085 879 8510,http://flyophuket.com/,"8 Sawatdirak Rd Beyond Patong Hotel Building 7 Rooftop Elevator Entrance at ""Black Out Patong 8 Thanon Sawatdirak, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,1714,7.8973,98.29674,google_places,,,,,,
MB ALL Seafood Phuket เอ็มบี ออลล์ ซีฟู้ด สาขาภูเก็ต,,Seafood Restaurant,Koh Kaew,092 860 1333,http://www.mballseafood.com/,"170 6 Chalermprakiat Ratchakan Thi 9 Road, รัษฏา เมือง Chang Wat Phuket 83000, Thailand",,4.8,1701,7.92174,98.37108,google_places,,,,,,
Sugar Goat,,Breakfast Restaurant,Bang Tao,084 458 1360,https://www.instagram.com/cafe.sugargoat,"49, 56 Thanon Bandon-Cherngtalay Bang Tao Beach, Tambon Choeng Thale, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.8,1698,7.99473,98.30484,google_places,,,,,,
Diamond Phuket Airport Scooter Motorbike Rental,,Services,Airport,094 582 9166,https://phuketairportscooterrental.com/,"60 T 1 Soi Krouhan, Tambon Sa Khu, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.8,1685,8.10101,98.3052,google_places,,,,,,
The Mangrove by Blu Monkey,,Resort hotel,Panwa,093 636 8830,http://www.themangrovephuket.com/,"39, R9PH+PM7, 6 Soi Ao-Yon Khaokhad Cape Panwa, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.6,1655,7.83679,98.37919,google_places,,,,,,
Blue Harbour Coffee at Tri-​Trang Beach,,Restaurant,Patong,086 950 1666,https://elephanttrailphuket.rezio.shop/th?utm_source=admin&utm_medium=click_mysitebutton&utm_campaign=gotomysite,"94/4 Blue Harbour Coffee Cafe Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,1654,7.88832,98.27123,google_places,,,,,,
SUNSURI PHUKET,,Hotel,Nai Harn,+66 76 336 400,https://www.sunsuri-phuket.com/,"11, 5 Nai Harn Beach, Tambon Rawai, Amphoe Mueang Phuket, Chang Wat Phuket 83130, Thailand",,4.6,1650,7.77996,98.30795,osm,,,,,,
Ton Mai Se Thong Massage & Beauty 3,,Massage spa,Patong,094 629 6703,http://www.tonmaisethong.com/,"155, 153 Rat Uthit Song Roi Pi Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,5,1649,7.89385,98.29864,google_places,,,,,,
